fecha,indec_publico_nacional,sinep,universitarios,defensa,seguridad_y_justicia,indice_salarial_calculado_variacion,indec_indice_base100,sinep_indice_base100,universitarios_indice_base100,defensa_indice_base100,seguridad_y_justicia_indice_base100,indice_salarial_calculado
2022-01-01,4.28,5,0,0,0,1.449175824175824,100,100,100,100,100,100
2022-02-01,2.59,7,5.630095297332116,0,0,3.714781284091211,102.59,107,105.63009529733212,100,100,103.71478128409122
2022-03-01,6.73,0,15.249781815505292,0,0,4.566555543654057,109.49430699999999,107,121.73845436168558,100,100,108.5384382566586
2022-04-01,2.56,7,0,0,10.000001255732103,4.734890449696737,112.2973612592,114.49000000000001,121.73845436168558,100,110.0000012557321,113.41534793712455
2022-05-01,10.44,10,0,6.493518009470267,10.00000079910224,6.514201915369654,124.02120577466049,125.93900000000002,121.73845436168558,106.49351800947026,121.00000226031779,120.62012545754949
2022-06-01,7.38,16,14.150685181468159,0,0,8.874793090055025,133.17397076083043,146.08924000000002,138.965279783193,106.49351800947026,121.00000226031779,131.61895592717673
2022-07-01,13.21,0,9.297771667892185,28.000283104490546,8.999999937732284,9.142778967021693,150.7662522983361,146.08924000000002,151.88595419508184,136.31200454005355,131.89000238840245,142.6128057529239
2022-08-01,5.33,12,4.96164505773351,0,0,4.963789316738881,158.8020935458374,163.61994880000003,159.4219961347935,136.31200454005355,131.89000238840245,149.95049352717822
2022-09-01,0.87,0,3.3769002466314646,0,6.00000003808423,2.6348410182256217,160.18367175968618,163.61994880000003,164.80551791545415,136.31200454005355,139.8034025819359,153.70399295892287
2022-10-01,6.97,12,5.880132901112667,0,0,5.23883100610242,171.34847368133632,183.25434265600006,174.4963013972499,136.31200454005355,139.8034025819359,162.29664117684524
2022-11-01,6.64,10,4.3187402136137365,17.187566067868175,0,6.599748771277951,182.72601233377705,201.5797769216001,182.03234333696156,159.74072037881072,139.8034025819359,173.1472631390045
2022-12-01,2.66,0,10.0554636923321,0,19.99999856285948,8.42320165084027,187.58652426185552,201.5797769216001,200.33653952951104,159.74072037881072,167.76408108915172,186.19474725424809
2023-01-01,5.64,10,1.0750065143509735,6.666537142095863,5.999999670655276,5.777937010633763,198.16640423022417,221.7377546137601,202.4901703800786,170.38989483391563,177.82992540197867,196.89806036210123
2023-02-01,2.69,10,0,0,6.999999385656319,4.792582251338317,203.4970805040172,243.91153007513614,202.4901703800786,170.38989483391563,190.27801908763027,206.69330909619976
2023-03-01,17.68,8,21.421754155010685,40.36808730429262,5.500000204583233,15.877729877930046,239.47536433712744,263.42445248114706,245.8671168669613,239.1730363381631,200.74331052672684,237.80724289941952
2023-04-01,2.57,5.13,6.894526661968525,0,9.00000021268401,5.986863810725121,245.62988120059163,276.93812689342985,262.8184907923673,239.1730363381631,218.81020890108118,251.689061301175
2023-05-01,1.12,0,0,0,8.999999747487974,2.435439492108696,248.3809358700383,276.93812689342985,262.8184907923673,239.1730363381631,238.5031271496564,257.0180515415175
2023-06-01,10.27,7,16.61820763567825,5.500046343498011,8.999999873638664,10.211227976265757,273.8896579838912,296.32379577597,306.4942132971988,252.3276641779134,259.9684082917497,283.3671120702484
2023-07-01,19.49,11,11.108574410488892,40.94057492268766,6.500000333292499,14.009763639092501,327.2707523249516,328.9194133113267,340.5413510451607,355.6320605813397,276.8663556971687,322.05652882990915
